Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
A.J. Lawson  ,    DAL  ,23,    6-6  ,179,    South Carolina  ,    Canada  ,      ,      ,      ,10,1.1,0.3,0,-15,3.6,6.7,15.6,55.7,0,
AJ Green  ,    MIL  ,24,    6-4  ,190,    Northern Iowa  ,    USA  ,      ,      ,      ,6,2.8,1.5,0.3,-3.8,0,12.7,11.5,49.1,4,
Aaron Gordon  ,    DEN  ,28,    6-8  ,235,    Arizona  ,    USA  ,2014,1,4,12,14.3,7.3,4.4,-3.9,8.4,12.2,15.3,66,18,
Aaron Nesmith  ,    IND  ,24,    6-6  ,215,    Vanderbilt  ,    USA  ,2020,1,14,17,10.5,4.9,2.2,2.6,3.6,12,14.5,56.6,8.1,
Aaron Wiggins  ,    OKC  ,25,    6-5  ,190,    Maryland  ,    USA  ,2021,2,55,10,6.2,3.2,1,8.4,6.1,12.2,17.2,59.8,9.7,
Al Horford  ,    BOS  ,38,    6-9  ,240,    Florida  ,    Dominican Republic  ,2007,1,3,19,9.2,7,2.1,11.4,6.4,17.7,12.2,60.9,9.6,
Alec Burks  ,    NYK  ,32,    6-5  ,214,    Colorado  ,    USA  ,2011,1,12,6,14.8,3.3,1,-11.9,3,16.5,22,69.4,9.2,
Amir Coffey  ,    LAC  ,27,    6-7  ,210,    Minnesota  ,    USA  ,      ,      ,      ,6,2.8,1.7,0.3,-12.9,1.7,7.1,10.7,38.6,3.1,
Andre Jackson Jr.  ,    MIL  ,22,    6-6  ,209,    Connecticut  ,    USA  ,2023,2,36,5,2.4,2.2,2,10.9,9.1,9,10.2,54.5,19.6,
Andrew Nembhard  ,    IND  ,24,    6-4  ,191,    Gonzaga  ,    Canada  ,2022,2,31,17,14.9,3.3,5.5,2.6,2.7,7.6,17.8,65.4,23,
Anthony Black  ,    ORL  ,20,    6-7  ,200,    Arkansas  ,    USA  ,2023,1,6,2,3,1,1,-38.1,10,14.3,32,42.9,40,
Anthony Davis  ,    LAL  ,31,    6-10  ,253,    Kentucky  ,    USA  ,2012,1,1,5,27.8,15.6,4,-3.2,7.8,29.7,24.6,66.5,15.5,
Anthony Edwards  ,    MIN  ,22,    6-4  ,225,    Georgia  ,    USA  ,2020,1,1,16,27.6,7,6.5,4.4,2.8,15.7,28.9,59.8,27.7,
Austin Reaves  ,    LAL  ,26,    6-5  ,197,    Oklahoma  ,    USA  ,      ,      ,      ,5,16.8,3.8,3.6,-3.5,3,7.8,19.3,58.9,13.7,
Bam Adebayo  ,    MIA  ,26,    6-9  ,255,    Kentucky  ,    USA  ,2017,1,14,5,22.6,9.4,3.8,-10,5.7,20,28,53.2,19.2,
Ben Sheppard  ,    IND  ,22,    6-6  ,190,    Belmont  ,    USA  ,2023,1,26,17,5.2,3,1,6.5,3.3,12,11,58.7,5.9,
Bobby Portis  ,    MIL  ,29,    6-10  ,250,    Arkansas  ,    USA  ,2015,1,22,6,16.5,11.3,1,7.7,9.2,27.7,25.5,51.2,5.3,
Bojan Bogdanovic  ,    NYK  ,35,    6-7  ,226,    None  ,    Croatia  ,2011,2,31,4,6,3,1,32,1.5,19,22,44.3,11.8,
Bol Bol  ,    PHX  ,24,    7-3  ,220,    Oregon  ,    Sudan  ,2019,2,44,3,0.7,1.3,0,0.5,0,44.4,10.7,33.3,0,
Bones Hyland  ,    LAC  ,23,    6-2  ,169,    Virginia Commonwealth  ,    USA  ,2021,1,26,3,3.7,0.7,1.3,8,0,16.7,34.5,62.8,57.1,
Bradley Beal  ,    PHX  ,30,    6-4  ,207,    Florida  ,    USA  ,2012,1,3,4,16.5,2.8,4.5,-14.2,4.3,3.5,21.9,53.9,20.7,
Brandon Boston Jr.  ,    LAC  ,22,    6-6  ,188,    Kentucky  ,    USA  ,2021,2,51,3,1.7,0.7,0.3,23.8,12.5,10,21.7,51.2,14.3,
Brandon Ingram  ,    NOP  ,26,    6-8  ,190,    Duke  ,    USA  ,2016,1,2,4,14.3,4.5,3.3,-14,0.6,11.7,21.5,45,15.5,
Brook Lopez  ,    MIL  ,36,    7-1  ,282,    Stanford  ,    USA  ,2008,1,10,6,17.7,4.3,1.8,-10.7,5.6,7.3,20.3,65,8.8,
Buddy Hield  ,    PHI  ,31,    6-4  ,220,    Oklahoma  ,    Bahamas  ,2016,1,6,4,5.5,1.3,0.5,-7.4,3,5.9,15.7,61.5,6.7,
CJ McCollum  ,    NOP  ,32,    6-3  ,190,    Lehigh  ,    USA  ,2013,1,10,4,17.8,4.8,4.8,-18.5,1.3,12.6,26.1,47.4,24.4,
